What is the longest river in the world?,The Nile River
Which continent is the largest by land area?,Asia
What is the capital of Canada?,Ottawa
Which desert is the largest in the world?,The Sahara Desert
Which mountain range includes Mount Everest?,The Himalayas
Which country has the most time zones?,France (including overseas territories)
What is the smallest country in the world by land area?,Vatican City
Which ocean is the largest?,The Pacific Ocean
Which African country is known as the 'Pearl of Africa'?,Uganda
Which strait separates Europe from Africa?,The Strait of Gibraltar
