What is the chemical symbol for gold?,Au,Au,Pb,Ag
Which planet is known as the Red Planet?,Mars,Jupiter,Mars,Saturn
What is the hardest natural substance on Earth?,Diamond,Quartz,Graphite,Diamond
What gas do plants absorb during photosynthesis?,Carbon dioxide,Oxygen,Carbon dioxide,Nitrogen
Which scientist developed the theory of relativity?,Albert Einstein,Albert Einstein,Nikola Tesla,Isaac Newton
What is the largest organ in the human body?,Skin,Brain,Skin,Liver
Which of these is NOT a type of blood cell?,Cartilage,Cartilage,Platelet,White blood cell
What is the main component of the Sun?,Hydrogen,Helium,Hydrogen,Oxygen
Which force keeps planets in orbit around the Sun?,Gravity,Gravity,Electromagnetism,Magnetism
What is the pH value of pure water?,7,5,9,7
